SMILES;cas.index.name;cas.rn;Parameter;Value
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;31.1 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;36.8 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;47.93 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;108 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;< 400 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;> 1 × 103 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;16.73 mg/L
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;17.54 mg/L
O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)cc1;2-Propenamide, 3-(3,4-dihydroxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]-, (2E)-;103188-48-3;IC50;1.86 µM
O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)cc1;2-Propenamide, 3-(3,4-dihydroxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]-, (2E)-;103188-48-3;IC50;1.86 µM
O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)cc1;2-Propenamide, 3-(3,4-dihydroxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]-, (2E)-;103188-48-3;IC50;1.86 µM
O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)cc1;2-Propenamide, 3-(3,4-dihydroxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]-, (2E)-;103188-48-3;IC50;4.74 - 172 µM
Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1;1,3-Benzenediol, 4-[(1E)-2-(3,5-dihydroxyphenyl)ethenyl]-;29700-22-9;IC50;1.86 µM
Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1;1,3-Benzenediol, 4-[(1E)-2-(3,5-dihydroxyphenyl)ethenyl]-;29700-22-9;IC50;8.35 µM
Oc1cc(O)cc(/C=C/c2ccc(O)cc2O)c1;1,3-Benzenediol, 4-[(1E)-2-(3,5-dihydroxyphenyl)ethenyl]-;29700-22-9;IC50;19.5 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;0.37 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;43.58 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;57.5 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;90.3 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;> 100 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;> 200 µM
